operator,time_us
DistributedDataParallel.forward,1322
aten::flatten_dense_tensors,298
aten::view,1011
aten::cat,11
c10d::broadcast_,6
record_param_comms,59
aten::unflatten_dense_tensors,945
aten::narrow,839
aten::slice,902
aten::as_strided,827
aten::copy_,3297
aten::conv2d,156
aten::convolution,168
aten::_convolution,157
aten::cudnn_convolution,12107
aten::add_,7795
aten::batch_norm,151
aten::_batch_norm_impl_index,155
aten::cudnn_batch_norm,5728
aten::empty_like,159
aten::empty,2330
aten::relu_,133
aten::clamp_min_,2939
aten::max_pool2d,3
aten::max_pool2d_with_indices,214
aten::adaptive_avg_pool2d,3
aten::mean,32
aten::flatten,3
aten::linear,4
aten::t,14
aten::transpose,15
aten::addmm,47
aten::is_same_size,1
autograd::engine::evaluate_function: AddmmBackward0,6
AddmmBackward0,9
aten::mm,41
aten::sum,9
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,3288
torch::autograd::AccumulateGrad,2283
torch::distributed::reducer::mul_out,2167
aten::mul,1964
autograd::engine::evaluate_function: TBackward0,3
TBackward0,3
c10d::allreduce_,15
autograd::engine::evaluate_function: ViewBackward0,2
ViewBackward0,3
aten::reshape,3
autograd::engine::evaluate_function: MeanBackward1,3
MeanBackward1,8
aten::expand,3
aten::div,21
autograd::engine::evaluate_function: ReluBackward0,501
ReluBackward0,532
aten::threshold_backward,4892
autograd::engine::evaluate_function: AddBackward0,151
AddBackward0,67
autograd::engine::evaluate_function: CudnnBatchNormBackward0,645
CudnnBatchNormBackward0,613
aten::cudnn_batch_norm_backward,11757
autograd::engine::evaluate_function: ConvolutionBackward0,821
ConvolutionBackward0,688
aten::convolution_backward,28212
aten::to,329
autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,3
MaxPool2DWithIndicesBackward0,3
aten::max_pool2d_with_indices_backward,543
aten::zero_,3
aten::fill_,122
torch.distributed.ddp.reducer::copy_bucket_to_grad,1118
whole_step_time,102.662 ms
