operator,time_us
DistributedDataParallel.forward,2746
aten::flatten_dense_tensors,675
aten::view,1712
aten::cat,13143
c10d::broadcast_,32
record_param_comms,22
aten::unflatten_dense_tensors,2520
aten::narrow,5034
aten::slice,5507
aten::as_strided,2736
aten::copy_,6393
aten::conv2d,352
aten::convolution,354
aten::_convolution,354
aten::cudnn_convolution,35067
aten::add_,18881
aten::batch_norm,348
aten::_batch_norm_impl_index,350
aten::cudnn_batch_norm,31304
aten::empty_like,419
aten::empty,2369
aten::relu_,358
aten::clamp_min_,19182
aten::max_pool2d,3
aten::max_pool2d_with_indices,847
aten::avg_pool2d,727
aten::adaptive_avg_pool2d,3
aten::mean,61
aten::flatten,3
aten::linear,4
aten::t,15
aten::transpose,15
aten::addmm,31
aten::is_same_size,1
autograd::engine::evaluate_function: AddmmBackward0,7
AddmmBackward0,9
aten::mm,50
aten::sum,9
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,3284
torch::autograd::AccumulateGrad,1776
torch::distributed::reducer::mul_out,1745
aten::mul,2196
autograd::engine::evaluate_function: TBackward0,2
TBackward0,3
c10d::allreduce_,9
autograd::engine::evaluate_function: ViewBackward0,3
ViewBackward0,3
aten::reshape,3
autograd::engine::evaluate_function: MeanBackward1,24
MeanBackward1,18
aten::expand,3
aten::div,175
autograd::engine::evaluate_function: ReluBackward0,649
ReluBackward0,544
aten::threshold_backward,28797
autograd::engine::evaluate_function: CudnnBatchNormBackward0,714
CudnnBatchNormBackward0,628
aten::cudnn_batch_norm_backward,52825
autograd::engine::evaluate_function: CatBackward0,2044
CatBackward0,1822
autograd::engine::evaluate_function: ConvolutionBackward0,555
ConvolutionBackward0,552
aten::convolution_backward,94131
aten::to,265
aten::contiguous,50
aten::clone,535
aten::add,2991
autograd::engine::evaluate_function: AvgPool2DBackward0,56
AvgPool2DBackward0,55
aten::avg_pool2d_backward,2771
autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,3
MaxPool2DWithIndicesBackward0,3
aten::max_pool2d_with_indices_backward,2237
aten::zero_,3
aten::fill_,481
torch.distributed.ddp.reducer::copy_bucket_to_grad,2416
whole_step_time,356.014 ms
