operator,time_us
DistributedDataParallel.forward,962
aten::flatten_dense_tensors,272
aten::view,493
aten::cat,10
c10d::broadcast_,6
record_param_comms,657
aten::unflatten_dense_tensors,643
aten::narrow,499
aten::slice,456
aten::as_strided,384
aten::copy_,1623
aten::conv2d,147
aten::convolution,158
aten::_convolution,149
aten::cudnn_convolution,11794
aten::add_,6523
aten::batch_norm,140
aten::_batch_norm_impl_index,148
aten::cudnn_batch_norm,5673
aten::empty_like,129
aten::empty,721
aten::relu_,134
aten::clamp_min_,2928
aten::max_pool2d,3
aten::max_pool2d_with_indices,217
aten::adaptive_avg_pool2d,3
aten::mean,30
aten::flatten,3
aten::linear,4
aten::t,14
aten::transpose,13
aten::addmm,44
aten::is_same_size,1
autograd::engine::evaluate_function: AddmmBackward0,7
AddmmBackward0,9
aten::mm,36
aten::sum,7
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,1191
torch::autograd::AccumulateGrad,751
torch::distributed::reducer::mul_out,704
aten::mul,947
autograd::engine::evaluate_function: TBackward0,3
TBackward0,3
c10d::allreduce_,16
autograd::engine::evaluate_function: ViewBackward0,3
ViewBackward0,2
aten::reshape,3
autograd::engine::evaluate_function: MeanBackward1,3
MeanBackward1,8
aten::expand,2
aten::div,20
autograd::engine::evaluate_function: ReluBackward0,254
ReluBackward0,269
aten::threshold_backward,4650
autograd::engine::evaluate_function: AddBackward0,114
AddBackward0,40
autograd::engine::evaluate_function: CudnnBatchNormBackward0,252
CudnnBatchNormBackward0,242
aten::cudnn_batch_norm_backward,9897
autograd::engine::evaluate_function: ConvolutionBackward0,287
ConvolutionBackward0,212
aten::convolution_backward,26036
aten::to,61
autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,3
MaxPool2DWithIndicesBackward0,2
aten::max_pool2d_with_indices_backward,528
aten::zero_,3
aten::fill_,122
torch.distributed.ddp.reducer::copy_bucket_to_grad,503
whole_step_time,82.171 ms
